goos: darwin
goarch: arm64
pkg: github.com/perfectgentlemande/go-semaphore-vs-worker-pool
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2452	    556706 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    3114	    531434 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2067	    492576 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2157	    464980 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2811	    414969 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2227	    470274 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2449	    526478 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2758	    488278 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2103	    498472 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_100-10     	    2725	    457095 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     254	   4343567 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     264	   4935067 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     283	   5939750 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     338	   4531084 ns/op	 2406441 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     242	   7045215 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     301	   5355786 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     276	   5037018 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     238	   4745200 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     265	   5555333 ns/op	 2406441 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_100-10    	     260	   4959563 ns/op	 2406441 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      19	  66323452 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      18	  66732669 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      15	  70089008 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      19	  66663561 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      16	  66896615 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      18	  66492035 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      18	  65733502 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      16	  63168581 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      19	  65847776 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_100-10   	      18	  67909611 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1692992	       707.1 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1696383	       706.2 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1701016	       705.5 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1681806	       708.7 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1700737	       705.4 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1687954	       704.2 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1699477	       707.7 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1688913	       708.4 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1687750	       708.2 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_1000-10       	 1690172	       707.3 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  201961	      5803 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  201582	      5747 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  201151	      5782 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  199668	      5743 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  192414	      5753 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  198134	      5807 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  205410	      5766 ns/op	    2760 B/op	      26 allocs/op
